-data: u500_00.txt
-current_solution:
bin_0: 0,1,51
bin_1: 2,3
bin_2: 4,7
bin_3: 5,6
bin_4: 8,9,10
bin_5: 11,12,50
bin_6: 13,14,33
bin_7: 15,18
bin_8: 16,19
bin_9: 17,28
bin_10: 20,21
bin_11: 22,27,38
bin_12: 23,24
bin_13: 25,26
bin_14: 29,30
bin_15: 31,32,34
bin_16: 35,36,37
bin_17: 39,40
bin_18: 41,42,47
bin_19: 43,46
bin_20: 44,45,59
bin_21: 48,49,60
bin_22: 52,53
bin_23: 54,55,63
bin_24: 56,57,58
bin_25: 61,62
bin_26: 64,65,66
bin_27: 67,139
bin_28: 68,117
bin_29: 69,128
bin_30: 70,72,361
bin_31: 71,75
bin_32: 73,119
bin_33: 74,118
bin_34: 76,80
bin_35: 77,94
bin_36: 78,90
bin_37: 79,87,216
bin_38: 81,88
bin_39: 82,84
bin_40: 83,92
bin_41: 85,86
bin_42: 89,99
bin_43: 91,93
bin_44: 95,98
bin_45: 96,97
bin_46: 100,127
bin_47: 101,102,143
bin_48: 103,129
bin_49: 104,106
bin_50: 105,111
bin_51: 107,108,220
bin_52: 109,110
bin_53: 112,113,325
bin_54: 114,140
bin_55: 115,116,217
bin_56: 120,138
bin_57: 121,122
bin_58: 123,124
bin_59: 125,126,307
bin_60: 130,131
bin_61: 132,134,324
bin_62: 133,136
bin_63: 135,137
bin_64: 141,142
bin_65: 144,148
bin_66: 145,146
bin_67: 147,160
bin_68: 149,150
bin_69: 151,152
bin_70: 153,154,359
bin_71: 155,157
bin_72: 156,159
bin_73: 158,161
bin_74: 162,163,168
bin_75: 164,178
bin_76: 165,167
bin_77: 166,201
bin_78: 169,170,309
bin_79: 171,207
bin_80: 172,176
bin_81: 173,177
bin_82: 174,175
bin_83: 179,180,181
bin_84: 182,183
bin_85: 184,185
bin_86: 186,187
bin_87: 188,191
bin_88: 189,190
bin_89: 192,193
bin_90: 194,195
bin_91: 196,197
bin_92: 198,199
bin_93: 200,208
bin_94: 202,215
bin_95: 203,204
bin_96: 205,206
bin_97: 209,210,308
bin_98: 211,212
bin_99: 213,214
bin_100: 218,219
bin_101: 221,224,254
bin_102: 222,233
bin_103: 223,232
bin_104: 225,226
bin_105: 227,228,261
bin_106: 229,231
bin_107: 230,239
bin_108: 234,237
bin_109: 235,240
bin_110: 236,238
bin_111: 241,244
bin_112: 242,243,257
bin_113: 245,246,247
bin_114: 248,249
bin_115: 250,251
bin_116: 252,253
bin_117: 255,256
bin_118: 258,259,260
bin_119: 262,264
bin_120: 263,265
bin_121: 266,267,268
bin_122: 269,270
bin_123: 271,276
bin_124: 272,273
bin_125: 274,275,395
bin_126: 277,280
bin_127: 278,279,281
bin_128: 282,285
bin_129: 283,284
bin_130: 286,288
bin_131: 287,293
bin_132: 289,290
bin_133: 291,292
bin_134: 294,297
bin_135: 295,296
bin_136: 298,299
bin_137: 300,301,360
bin_138: 302,303,323
bin_139: 304,305,306
bin_140: 310,311
bin_141: 312,313,317
bin_142: 314,315,316
bin_143: 318,319,320
bin_144: 321,322
bin_145: 326,327,328
bin_146: 329,336
bin_147: 330,331,337
bin_148: 332,333
bin_149: 334,335
bin_150: 338,343
bin_151: 339,340
bin_152: 341,342
bin_153: 344,347,357
bin_154: 345,355
bin_155: 346,348
bin_156: 349,352
bin_157: 350,353
bin_158: 351,354
bin_159: 356,358
bin_160: 362,368
bin_161: 363,367
bin_162: 364,373
bin_163: 365,374
bin_164: 366,370
bin_165: 369,389
bin_166: 371,372
bin_167: 375,382
bin_168: 376,379
bin_169: 377,378
bin_170: 380,381
bin_171: 383,384
bin_172: 385,386
bin_173: 387,388
bin_174: 390,391,392
bin_175: 393,394
bin_176: 396,415
bin_177: 397,407
bin_178: 398,400,469
bin_179: 399,430
bin_180: 401,403
bin_181: 402,404
bin_182: 405,406
bin_183: 408,409,483
bin_184: 410,464
bin_185: 411,414
bin_186: 412,413
bin_187: 416,420
bin_188: 417,419,470
bin_189: 418,449
bin_190: 421,422
bin_191: 423,424,426
bin_192: 425,429
bin_193: 427,428
bin_194: 431,433
bin_195: 432,435
bin_196: 434,441
bin_197: 436,448
bin_198: 437,463
bin_199: 438,439,440
bin_200: 442,443
bin_201: 444,445
bin_202: 446,447
bin_203: 450,451
bin_204: 452,454
bin_205: 453,467
bin_206: 455,457
bin_207: 456,458
bin_208: 459,460
bin_209: 461,462
bin_210: 465,466,468
bin_211: 471,480
bin_212: 472,475
bin_213: 473,474
bin_214: 476,477
bin_215: 478,479
bin_216: 481,482
bin_217: 484,485
bin_218: 486,489
bin_219: 487,488
bin_220: 490,493
bin_221: 491,492
bin_222: 494,498
bin_223: 495
bin_224: 496
bin_225: 497
bin_226: 499

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 227
-item_num: 500
-num_items_in_box: 500
