-data: mknapcb1_4.mkp
-current_solution:
selected_items: 1,3,5,11,12,13,22,27,28,30,34,35,42,48,53,58,63,69,70,78,86,94
-is_complete_solution: True
-is_valid_solution: True
-current_profit: 18210.0
-item_num: 100
-resource_num: 5
-selected_item_num: [1, 3, 5, 11, 12, 13, 22, 27, 28, 30, 34, 35, 42, 48, 53, 58, 63, 69, 70, 78, 86, 94]
-trajectory:
operation_id	heuristic	operator(parameter)	solution_after_operation
0	greedy_by_density_9e8d	AddOperator(item_index=53)	selected_items: 53
1	greedy_by_density_9e8d	AddOperator(item_index=30)	selected_items: 30,53
2	greedy_by_density_9e8d	AddOperator(item_index=35)	selected_items: 30,35,53
3	greedy_by_density_9e8d	AddOperator(item_index=5)	selected_items: 5,30,35,53
4	greedy_by_density_9e8d	AddOperator(item_index=34)	selected_items: 5,30,34,35,53
5	greedy_by_density_9e8d	AddOperator(item_index=27)	selected_items: 5,27,30,34,35,53
6	greedy_by_density_9e8d	AddOperator(item_index=63)	selected_items: 5,27,30,34,35,53,63
7	greedy_by_density_9e8d	AddOperator(item_index=70)	selected_items: 5,27,30,34,35,53,63,70
8	greedy_by_density_9e8d	AddOperator(item_index=86)	selected_items: 5,27,30,34,35,53,63,70,86
9	greedy_by_density_9e8d	AddOperator(item_index=22)	selected_items: 5,22,27,30,34,35,53,63,70,86
10	greedy_by_density_9e8d	AddOperator(item_index=12)	selected_items: 5,12,22,27,30,34,35,53,63,70,86
11	greedy_by_density_9e8d	AddOperator(item_index=11)	selected_items: 5,11,12,22,27,30,34,35,53,63,70,86
12	greedy_by_density_9e8d	AddOperator(item_index=78)	selected_items: 5,11,12,22,27,30,34,35,53,63,70,78,86
13	greedy_by_density_9e8d	AddOperator(item_index=3)	selected_items: 3,5,11,12,22,27,30,34,35,53,63,70,78,86
14	greedy_by_density_9e8d	AddOperator(item_index=42)	selected_items: 3,5,11,12,22,27,30,34,35,42,53,63,70,78,86
15	greedy_by_density_9e8d	AddOperator(item_index=94)	selected_items: 3,5,11,12,22,27,30,34,35,42,53,63,70,78,86,94
16	greedy_by_density_9e8d	AddOperator(item_index=28)	selected_items: 3,5,11,12,22,27,28,30,34,35,42,53,63,70,78,86,94
17	greedy_by_density_9e8d	AddOperator(item_index=1)	selected_items: 1,3,5,11,12,22,27,28,30,34,35,42,53,63,70,78,86,94
18	greedy_by_density_9e8d	AddOperator(item_index=69)	selected_items: 1,3,5,11,12,22,27,28,30,34,35,42,53,63,69,70,78,86,94
19	greedy_by_density_9e8d	AddOperator(item_index=58)	selected_items: 1,3,5,11,12,22,27,28,30,34,35,42,53,58,63,69,70,78,86,94
20	greedy_by_least_remaining_capacity_05f2	AddOperator(item_index=48)	selected_items: 1,3,5,11,12,22,27,28,30,34,35,42,48,53,58,63,69,70,78,86,94
21	greedy_by_least_remaining_capacity_05f2	AddOperator(item_index=13)	selected_items: 1,3,5,11,12,13,22,27,28,30,34,35,42,48,53,58,63,69,70,78,86,94
