-data: u500_17.txt
-current_solution:
bin_0: 0,1,2,3
bin_1: 4,5
bin_2: 6,7,8
bin_3: 9,12,17
bin_4: 10,15
bin_5: 11,13
bin_6: 14,16
bin_7: 18,24
bin_8: 19,20
bin_9: 21,22,26
bin_10: 23,25
bin_11: 27,28,30
bin_12: 29,41
bin_13: 31,47
bin_14: 32,33
bin_15: 34,44
bin_16: 35,40
bin_17: 36,37
bin_18: 38,39
bin_19: 42,43
bin_20: 45,46
bin_21: 48,49
bin_22: 50,51,54
bin_23: 52,53,58
bin_24: 55,56,57
bin_25: 59,60
bin_26: 61,62,63
bin_27: 64,66
bin_28: 65,67
bin_29: 68,69,70
bin_30: 71,72,73
bin_31: 74,75
bin_32: 76,100
bin_33: 77,96
bin_34: 78,102
bin_35: 79,80
bin_36: 81,113
bin_37: 82,83,199
bin_38: 84,85,167
bin_39: 86,97
bin_40: 87,89
bin_41: 88,114
bin_42: 90,91
bin_43: 92,93,123
bin_44: 94,95,103
bin_45: 98,99
bin_46: 101,147
bin_47: 104,105
bin_48: 106,107,108
bin_49: 109,110
bin_50: 111,112
bin_51: 115,116
bin_52: 117,118
bin_53: 119,140
bin_54: 120,122
bin_55: 121,145
bin_56: 124,131
bin_57: 125,126
bin_58: 127,128
bin_59: 129,130
bin_60: 132,135
bin_61: 133,136
bin_62: 134,137
bin_63: 138,139
bin_64: 141,146
bin_65: 142,143,144,162
bin_66: 148,159
bin_67: 149,151
bin_68: 150,155
bin_69: 152,157
bin_70: 153,156
bin_71: 154,158
bin_72: 160,161,170
bin_73: 163,166
bin_74: 164,165
bin_75: 168,169
bin_76: 171,181
bin_77: 172,177
bin_78: 173,180
bin_79: 174,176
bin_80: 175,185
bin_81: 178,179
bin_82: 182,197
bin_83: 183,184
bin_84: 186,187
bin_85: 188,190,198
bin_86: 189,191
bin_87: 192,193,194
bin_88: 195,196
bin_89: 200,205,239
bin_90: 201,232
bin_91: 202,209
bin_92: 203,208
bin_93: 204,213
bin_94: 206,207,214
bin_95: 210,211
bin_96: 212,231
bin_97: 215,217
bin_98: 216,218
bin_99: 219,220
bin_100: 221,222
bin_101: 223,225,240
bin_102: 224,228
bin_103: 226,227
bin_104: 229,230
bin_105: 233,236
bin_106: 234,235
bin_107: 237,238
bin_108: 241,242,243
bin_109: 244,246,247
bin_110: 245,248
bin_111: 249,250
bin_112: 251,252,258
bin_113: 253,260
bin_114: 254,257
bin_115: 255,256,271
bin_116: 259,261
bin_117: 262,265
bin_118: 263,267
bin_119: 264,266
bin_120: 268,269,275
bin_121: 270,272
bin_122: 273,274
bin_123: 276,278
bin_124: 277,279
bin_125: 280,287
bin_126: 281,282
bin_127: 283,285
bin_128: 284,320
bin_129: 286,288
bin_130: 289,290,395
bin_131: 291,311
bin_132: 292,297
bin_133: 293,296,377
bin_134: 294,378
bin_135: 295,328
bin_136: 298,302,392
bin_137: 299,303,396
bin_138: 300,310
bin_139: 301,372
bin_140: 304,306,329
bin_141: 305,321
bin_142: 307,309
bin_143: 308,335
bin_144: 312,313
bin_145: 314,318
bin_146: 315,319
bin_147: 316,336
bin_148: 317,327
bin_149: 322,324,390
bin_150: 323,332
bin_151: 325,326
bin_152: 330,331
bin_153: 333,334
bin_154: 337,338,391
bin_155: 339,341,350
bin_156: 340,342
bin_157: 343,365
bin_158: 344,346
bin_159: 345,347
bin_160: 348,349,366
bin_161: 351,353
bin_162: 352,367
bin_163: 354,364
bin_164: 355,356
bin_165: 357,358
bin_166: 359,360
bin_167: 361,362
bin_168: 363,370
bin_169: 368,369,375
bin_170: 371,376
bin_171: 373,374
bin_172: 379,380
bin_173: 381,382
bin_174: 383,384
bin_175: 385,386
bin_176: 387,388,389
bin_177: 393,394
bin_178: 397,398
bin_179: 399,400
bin_180: 401,403
bin_181: 402,415
bin_182: 404,405,406
bin_183: 407,412
bin_184: 408,413
bin_185: 409,414
bin_186: 410,411
bin_187: 416,417,418
bin_188: 419,424
bin_189: 420,423
bin_190: 421,427
bin_191: 422,430
bin_192: 425,431
bin_193: 426,470
bin_194: 428,429
bin_195: 432,433
bin_196: 434,435,444
bin_197: 436,443
bin_198: 437,438
bin_199: 439,440
bin_200: 441,442
bin_201: 445,452
bin_202: 446,458
bin_203: 447,448
bin_204: 449,469
bin_205: 450,451,481
bin_206: 453,456
bin_207: 454,455
bin_208: 457,459
bin_209: 460,461,463
bin_210: 462,466
bin_211: 464,465
bin_212: 467,468
bin_213: 471,472
bin_214: 473,480
bin_215: 474,477
bin_216: 475,476
bin_217: 478,479
bin_218: 482,483
bin_219: 484,486,492
bin_220: 485,491
bin_221: 487,488
bin_222: 489,490
bin_223: 493,494
bin_224: 495,498
bin_225: 496
bin_226: 497
bin_227: 499

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 228
-item_num: 500
-num_items_in_box: 500
