-data: u500_05.txt
-current_solution:
bin_0: 0
bin_1: 1,2
bin_2: 3,4,5
bin_3: 6,7,8
bin_4: 9,10
bin_5: 11
bin_6: 12,13
bin_7: 14,15,16
bin_8: 17,18,19
bin_9: 20,21
bin_10: 22,23
bin_11: 24,25
bin_12: 26
bin_13: 27
bin_14: 28
bin_15: 29,30
bin_16: 31,32,33
bin_17: 34,35
bin_18: 36
bin_19: 37
bin_20: 38
bin_21: 39
bin_22: 40,41,42
bin_23: 43
bin_24: 44
bin_25: 45,46
bin_26: 47,48
bin_27: 49,50,51
bin_28: 52,53
bin_29: 54,55
bin_30: 56
bin_31: 57,58
bin_32: 59,60
bin_33: 61,62
bin_34: 63
bin_35: 64
bin_36: 65,66
bin_37: 67,68
bin_38: 69
bin_39: 70,71
bin_40: 72,73
bin_41: 74,75,76
bin_42: 77,78
bin_43: 79
bin_44: 80
bin_45: 81
bin_46: 82
bin_47: 83,84
bin_48: 85,86
bin_49: 87,88
bin_50: 89
bin_51: 90,91
bin_52: 92,93,94
bin_53: 95
bin_54: 96,97
bin_55: 98
bin_56: 99
bin_57: 100,101
bin_58: 102,103,104
bin_59: 105,106
bin_60: 107,108
bin_61: 109,110
bin_62: 111,112
bin_63: 113,114
bin_64: 115,116,117
bin_65: 118,119,120
bin_66: 121,122,123
bin_67: 124,125
bin_68: 126
bin_69: 127,128
bin_70: 129
bin_71: 130,131,132
bin_72: 133,134
bin_73: 135,136
bin_74: 137,138
bin_75: 139,140
bin_76: 141,142
bin_77: 143,144
bin_78: 145
bin_79: 146
bin_80: 147,148
bin_81: 149,150
bin_82: 151,152
bin_83: 153
bin_84: 154
bin_85: 155
bin_86: 156
bin_87: 157,158
bin_88: 159,160
bin_89: 161,162
bin_90: 163,164
bin_91: 165,166
bin_92: 167,168
bin_93: 169,170
bin_94: 171
bin_95: 172
bin_96: 173,174
bin_97: 175,176
bin_98: 177,178
bin_99: 179,180
bin_100: 181,182,183
bin_101: 184,185
bin_102: 186,187
bin_103: 188
bin_104: 189,190
bin_105: 191,192
bin_106: 193,194
bin_107: 195,196
bin_108: 197,198
bin_109: 199,200
bin_110: 201,202,203
bin_111: 204,205
bin_112: 206,207
bin_113: 208,209
bin_114: 210,211
bin_115: 212,213
bin_116: 214
bin_117: 215
bin_118: 216
bin_119: 217,218
bin_120: 219,220
bin_121: 221,222
bin_122: 223,224
bin_123: 225,226,227
bin_124: 228,229,230
bin_125: 231,232
bin_126: 233,234
bin_127: 235,236
bin_128: 237
bin_129: 238
bin_130: 239,240
bin_131: 241
bin_132: 242,243
bin_133: 244,245
bin_134: 246,247
bin_135: 248
bin_136: 249
bin_137: 250
bin_138: 251,252,253
bin_139: 254,255,256
bin_140: 257
bin_141: 258,259
bin_142: 260,261
bin_143: 262,263,264
bin_144: 265,266
bin_145: 267,268,269
bin_146: 270,271
bin_147: 272
bin_148: 273
bin_149: 274
bin_150: 275,276
bin_151: 277
bin_152: 278,279
bin_153: 280,281
bin_154: 282
bin_155: 283
bin_156: 284
bin_157: 285,286
bin_158: 287,288,289
bin_159: 290,291
bin_160: 292
bin_161: 293,294
bin_162: 295
bin_163: 296,297
bin_164: 298,299
bin_165: 300,301
bin_166: 302,303
bin_167: 304,305
bin_168: 306,307
bin_169: 308,309
bin_170: 310,311
bin_171: 312,313,314
bin_172: 315
bin_173: 316,317
bin_174: 318,319
bin_175: 320,321
bin_176: 322,323,324
bin_177: 325
bin_178: 326,327
bin_179: 328
bin_180: 329,330
bin_181: 331,332,333
bin_182: 334,335,336
bin_183: 337,338
bin_184: 339,340
bin_185: 341,342
bin_186: 343
bin_187: 344
bin_188: 345,346
bin_189: 347
bin_190: 348
bin_191: 349
bin_192: 350,351,352
bin_193: 353,354
bin_194: 355,356,357
bin_195: 358,359
bin_196: 360,361
bin_197: 362,363
bin_198: 364,365
bin_199: 366,367
bin_200: 368,369
bin_201: 370
bin_202: 371
bin_203: 372,373
bin_204: 374
bin_205: 375
bin_206: 376
bin_207: 377,378
bin_208: 379,380
bin_209: 381,382,383
bin_210: 384,385
bin_211: 386
bin_212: 387,388,389
bin_213: 390,391,392
bin_214: 393,394
bin_215: 395,396
bin_216: 397,398,399
bin_217: 400,401,402
bin_218: 403,404
bin_219: 405,406
bin_220: 407,408,409
bin_221: 410,411
bin_222: 412,413
bin_223: 414,415
bin_224: 416,417
bin_225: 418,419
bin_226: 420,421
bin_227: 422,423
bin_228: 424,425,426
bin_229: 427,428
bin_230: 429,430,431
bin_231: 432,433
bin_232: 434,435
bin_233: 436,437
bin_234: 438,439
bin_235: 440
bin_236: 441
bin_237: 442,443
bin_238: 444,445
bin_239: 446,447
bin_240: 448,449
bin_241: 450,451
bin_242: 452,453
bin_243: 454,455
bin_244: 456
bin_245: 457,458
bin_246: 459
bin_247: 460,461
bin_248: 462
bin_249: 463,464
bin_250: 465,466,467
bin_251: 468,469
bin_252: 470,471
bin_253: 472,473
bin_254: 474
bin_255: 475,476
bin_256: 477
bin_257: 478
bin_258: 479
bin_259: 480
bin_260: 481,482
bin_261: 483
bin_262: 484,485
bin_263: 486,487
bin_264: 488,489
bin_265: 490,491,492
bin_266: 493
bin_267: 494,495
bin_268: 496
bin_269: 497
bin_270: 498
bin_271: 499

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 272
-item_num: 500
-num_items_in_box: 500
