-data: u500_02.txt
-current_solution:
bin_0: 0,1,11
bin_1: 2,3
bin_2: 4,5,10
bin_3: 6,9
bin_4: 7,8
bin_5: 12,13
bin_6: 14,39
bin_7: 15,29
bin_8: 16,17
bin_9: 18,19,30
bin_10: 20,22
bin_11: 21,45
bin_12: 23,24,99
bin_13: 25,38
bin_14: 26,87
bin_15: 27,28
bin_16: 31,32,48
bin_17: 33,36
bin_18: 34,37
bin_19: 35,42
bin_20: 40,41,100
bin_21: 43,44
bin_22: 46,47
bin_23: 49,50,53
bin_24: 51,52
bin_25: 54,81
bin_26: 55,64
bin_27: 56,57
bin_28: 58,74
bin_29: 59,60
bin_30: 61,63
bin_31: 62,69
bin_32: 65,67
bin_33: 66,68
bin_34: 70,71
bin_35: 72,73
bin_36: 75,78
bin_37: 76,77
bin_38: 79,80
bin_39: 82,83,86
bin_40: 84,85
bin_41: 88,92
bin_42: 89,91
bin_43: 90,95
bin_44: 93,94
bin_45: 96,97,98
bin_46: 101,102
bin_47: 103,106
bin_48: 104,107,109
bin_49: 105,108
bin_50: 110,111
bin_51: 112,114,121
bin_52: 113,135
bin_53: 115,118,142
bin_54: 116,117
bin_55: 119,134
bin_56: 120,122
bin_57: 123,124
bin_58: 125,129
bin_59: 126,128
bin_60: 127,176
bin_61: 130,131
bin_62: 132,133
bin_63: 136,137
bin_64: 138,139,262
bin_65: 140,141
bin_66: 143,146
bin_67: 144,145,149
bin_68: 147,148
bin_69: 150,151
bin_70: 152,153
bin_71: 154,155
bin_72: 156,161
bin_73: 157,159,174
bin_74: 158,160
bin_75: 162,164,167
bin_76: 163,259
bin_77: 165,169
bin_78: 166,168
bin_79: 170,171
bin_80: 172,173,175
bin_81: 177,178
bin_82: 179,180
bin_83: 181,182,183
bin_84: 184,185
bin_85: 186,201
bin_86: 187,188
bin_87: 189,191,200
bin_88: 190,211
bin_89: 192,194,197
bin_90: 193,232
bin_91: 195,196
bin_92: 198,199
bin_93: 202,203
bin_94: 204,205
bin_95: 206,207
bin_96: 208,216
bin_97: 209,210
bin_98: 212,213,496
bin_99: 214,215
bin_100: 217,219
bin_101: 218,241
bin_102: 220,222
bin_103: 221,228
bin_104: 223,225
bin_105: 224,226
bin_106: 227,229
bin_107: 230,231
bin_108: 233,234
bin_109: 235,236
bin_110: 237,238
bin_111: 239,240
bin_112: 242,255
bin_113: 243,244
bin_114: 245,246
bin_115: 247,252
bin_116: 248,250
bin_117: 249,251
bin_118: 253,254
bin_119: 256,257,258
bin_120: 260,261,494
bin_121: 263,264
bin_122: 265,266,267
bin_123: 268,283
bin_124: 269,275
bin_125: 270,284
bin_126: 271,299
bin_127: 272,317
bin_128: 273,276
bin_129: 274,333
bin_130: 277,280
bin_131: 278,404
bin_132: 279,296
bin_133: 281,416
bin_134: 282,297
bin_135: 285,287
bin_136: 286,369
bin_137: 288,293
bin_138: 289,319
bin_139: 290,292
bin_140: 291,300
bin_141: 294,295
bin_142: 298,345
bin_143: 301,302
bin_144: 303,308
bin_145: 304,306
bin_146: 305,315
bin_147: 307,411
bin_148: 309,352
bin_149: 310,311,480
bin_150: 312,313
bin_151: 314,316
bin_152: 318,374
bin_153: 320,322
bin_154: 321,323
bin_155: 324,325
bin_156: 326,327
bin_157: 328,398
bin_158: 329,332
bin_159: 330,331
bin_160: 334,344
bin_161: 335,338
bin_162: 336,341
bin_163: 337,340
bin_164: 339,342
bin_165: 343,417
bin_166: 346,347,495
bin_167: 348,349
bin_168: 350,351
bin_169: 353,354
bin_170: 355,357,449
bin_171: 356,358
bin_172: 359,361
bin_173: 360,364
bin_174: 362,363
bin_175: 365,367
bin_176: 366,368
bin_177: 370,371,483
bin_178: 372,373
bin_179: 375,376
bin_180: 377,394
bin_181: 378,379
bin_182: 380,388
bin_183: 381,383
bin_184: 382,393
bin_185: 384,412
bin_186: 385,389
bin_187: 386,387
bin_188: 390,392
bin_189: 391,399
bin_190: 395,396
bin_191: 397,413
bin_192: 400,401
bin_193: 402,403
bin_194: 405,410
bin_195: 406,407
bin_196: 408,409
bin_197: 414,415
bin_198: 418,419
bin_199: 420,421
bin_200: 422,423,459
bin_201: 424,430
bin_202: 425,428
bin_203: 426,431
bin_204: 427,429
bin_205: 432,442
bin_206: 433,434
bin_207: 435,436,437
bin_208: 438,439
bin_209: 440,441
bin_210: 443,445
bin_211: 444,447
bin_212: 446,448
bin_213: 450,451
bin_214: 452,453,454
bin_215: 455,456
bin_216: 457,458
bin_217: 460,461
bin_218: 462,467
bin_219: 463,466
bin_220: 464,477
bin_221: 465,468
bin_222: 469,470,471
bin_223: 472,473,475
bin_224: 474,476
bin_225: 478,479
bin_226: 481,482
bin_227: 484,485
bin_228: 486,487,490
bin_229: 488,489,493
bin_230: 491,492
bin_231: 497,498
bin_232: 499

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 233
-item_num: 500
-num_items_in_box: 500
