-data: u500_17.txt
-current_solution:
bin_0: 0,1,2,3
bin_1: 4,5
bin_2: 6,7,8,28
bin_3: 9,16,17
bin_4: 10,12,33
bin_5: 11,13
bin_6: 14,15,26
bin_7: 18,20,80
bin_8: 19,22,27
bin_9: 21,25,40
bin_10: 23,24
bin_11: 29,43,144
bin_12: 30,36,44
bin_13: 31,41
bin_14: 32,47
bin_15: 34,46,131
bin_16: 35,51
bin_17: 37,38
bin_18: 39,49
bin_19: 42,50
bin_20: 45,48
bin_21: 52,53,58
bin_22: 54,55,56
bin_23: 57,59,61,63
bin_24: 60,69
bin_25: 62,64,72
bin_26: 65,67
bin_27: 66,68
bin_28: 70,71,73
bin_29: 74,75,83
bin_30: 76,93,161
bin_31: 77,97,99
bin_32: 78,95,103
bin_33: 79,92
bin_34: 81,85,167
bin_35: 82,84
bin_36: 86,96
bin_37: 87,90
bin_38: 88,89
bin_39: 91,94
bin_40: 98,100,239
bin_41: 101,102
bin_42: 104,105
bin_43: 106,107,108,246
bin_44: 109,110
bin_45: 111,112
bin_46: 113,114,115
bin_47: 116,117
bin_48: 118,120,159
bin_49: 119,123
bin_50: 121,130
bin_51: 122,125
bin_52: 124,135
bin_53: 126,127,146
bin_54: 128,132
bin_55: 129,138
bin_56: 133,137,143
bin_57: 134,136
bin_58: 139,140,145
bin_59: 141,147
bin_60: 142,149
bin_61: 148,157
bin_62: 150,151
bin_63: 152,155
bin_64: 153,156
bin_65: 154,158,190
bin_66: 160,162,207
bin_67: 163,166
bin_68: 164,165
bin_69: 168,169,205
bin_70: 170,171
bin_71: 172,180
bin_72: 173,179
bin_73: 174,176
bin_74: 175,177,222
bin_75: 178,181,184
bin_76: 182,185
bin_77: 183,187
bin_78: 186,188
bin_79: 189,191,232
bin_80: 192,193,194
bin_81: 195,196,209
bin_82: 197,198,199,256
bin_83: 200,206
bin_84: 201,213
bin_85: 202,218,240
bin_86: 203,208
bin_87: 204,211
bin_88: 210,220
bin_89: 212,214,236
bin_90: 215,219
bin_91: 216,217
bin_92: 221,225,247
bin_93: 223,226
bin_94: 224,228,260
bin_95: 227,231,242
bin_96: 229,230,252
bin_97: 233,237
bin_98: 234,235
bin_99: 238,241
bin_100: 243,244,248
bin_101: 245,249
bin_102: 250,251,267
bin_103: 253,257
bin_104: 254,258,261
bin_105: 255,268
bin_106: 259,265,288
bin_107: 262,273
bin_108: 263,266,296
bin_109: 264,269,290
bin_110: 270,271,272
bin_111: 274,275,287
bin_112: 276,278
bin_113: 277,279
bin_114: 280,282
bin_115: 281,304
bin_116: 283,298
bin_117: 284,285
bin_118: 286,310
bin_119: 289,331
bin_120: 291,313,319
bin_121: 292,326
bin_122: 293,322
bin_123: 294,302
bin_124: 295,297
bin_125: 299,332
bin_126: 300,327
bin_127: 301,303,306
bin_128: 305,311
bin_129: 307,325
bin_130: 308,309
bin_131: 312,321
bin_132: 314,334
bin_133: 315,328,329
bin_134: 316,318
bin_135: 317,320,350
bin_136: 323,324,335
bin_137: 330,336
bin_138: 333,337
bin_139: 338,339,341
bin_140: 340,342,347
bin_141: 343,349,356
bin_142: 344,346
bin_143: 345,358
bin_144: 348,351
bin_145: 352,353
bin_146: 354,360
bin_147: 355,362
bin_148: 357,359
bin_149: 361,365,394
bin_150: 363,364
bin_151: 366,367,369
bin_152: 368,370,372
bin_153: 371,374
bin_154: 373,375,376
bin_155: 377,378,381
bin_156: 379,380,388
bin_157: 382,383,391
bin_158: 384,385
bin_159: 386,387,459
bin_160: 389,390,392
bin_161: 393,395
bin_162: 396,397,448
bin_163: 398,399,405
bin_164: 400,401,406
bin_165: 402,415
bin_166: 403,404,443
bin_167: 407,413
bin_168: 408,411
bin_169: 409,412
bin_170: 410,414
bin_171: 416,417,418,430
bin_172: 419,423
bin_173: 420,428
bin_174: 421,429
bin_175: 422,424,435
bin_176: 425,431
bin_177: 426,427
bin_178: 432,433
bin_179: 434,436
bin_180: 437,438
bin_181: 439,440,444
bin_182: 441,442
bin_183: 445,456
bin_184: 446,452
bin_185: 447,460
bin_186: 449,451,458
bin_187: 450,454
bin_188: 453,465
bin_189: 455,464
bin_190: 457,461,486
bin_191: 462,463
bin_192: 466,467,469
bin_193: 468,470,476
bin_194: 471,472
bin_195: 473,477
bin_196: 474,478
bin_197: 475,480,481
bin_198: 479,483,488
bin_199: 482,484
bin_200: 485,490
bin_201: 487,489
bin_202: 491,492,494
bin_203: 493,495
bin_204: 496
bin_205: 497,498
bin_206: 499

-is_complete_solution: True
-is_valid_solution: True
-used_bin_num: 207
-item_num: 500
-num_items_in_box: 500
